background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
36,16,300,300,10,0.0,0.0,0.0,0.0,0.0,0.47988352289470004,0.1388970255484669,0.08608926834732768,0.0,-0.021882783882783884,0.021882783882783884
36,16,500,50,10,0.00125,0.00125,0.0,0.0014731391274719742,0.0009130610908124142,0.7074252624898001,0.23574876057394833,0.14611859563917462,0.0,-0.02340887109054417,0.02340887109054416
36,16,500,150,10,0.0,0.0,0.0,0.0,0.0,0.8023671275964,0.14034910788513646,0.08698927830398684,0.0,-0.01156571685497758,0.011565716854977582
36,16,500,300,10,0.0,0.0,0.0,0.0,0.0,0.7149985329292,0.15611691519475898,0.09676226652577838,0.0,-0.017065629978324403,0.017065629978324403
48,4,100,50,10,0.00025,0.0,-0.00025,0.000790569415042095,0.0004900000000000001,0.1518042653459,0.03749850016220368,0.023241811193140376,3.601953601961583e-06,-0.1948935614822201,0.1948935614822201
48,4,100,150,10,0.0,0.0,0.0,0.0,0.0,0.2559504565218,0.21658294794124067,0.1342395018982073,3.296703296706838e-06,-0.12799032823008788,0.1279903282300879
48,4,100,300,10,0.0,0.0,0.0,0.0,0.0,0.2612663674317,0.23249086598758809,0.14409933165432706,7.875457875450298e-06,-0.1270366182923856,0.1270366182923856
48,4,300,50,10,0.00822603962038369,0.06265581222768968,0.054429772607299996,0.08645508437387889,0.053585416457003945,0.7315209639549,0.31783527679291557,0.19699634550147135,2.6923076923091038e-05,-0.07351524173087637,0.07351524173087638
48,4,300,150,10,0.0,0.001492620439988861,0.0014926204399,0.0031468297084193235,0.001950425260308566,0.29482034315760003,0.12023751409569076,0.07452398332884076,2.3199023199027557e-05,-0.1419898540578387,0.14198985405783868
48,4,300,300,10,0.0,0.0,0.0,0.0,0.0,0.36344736276039996,0.22058396447020429,0.1367193576349585,1.0866910866913493e-05,-0.11211760233435597,0.11211760233435597
48,4,500,50,10,0.15125,0.24625,0.095,0.08979142498033986,0.05565330178884268,1.0184318056664998,0.024551841995746518,0.015217389325990078,4.334554334561869e-06,-0.005904185918451527,0.00590418591845156
48,4,500,150,10,0.0,0.0,0.0,0.0,0.0,0.315245456285,0.06128738451377274,0.03798631447201839,4.273504273566431e-07,-0.1839321268070649,0.18393212680706492
48,4,500,300,10,0.0,0.0,0.0,0.0,0.0,0.3462048659022,0.09384785106548485,0.05816750072432162,4.27350427351092e-06,-0.13289435594900248,0.13289435594900248
48,10,100,50,10,0.0,0.0,0.0,0.0,0.0,0.5659110338166,0.3506220440938386,0.21731779441130156,5.067155067151052e-06,-0.05411073644447091,0.05411073644447093
48,10,100,150,10,0.0,0.0,0.0,0.0,0.0,0.5755866771959,0.3540183930945123,0.2194228733312108,3.296703296706838e-06,-0.052577271617174036,0.052577271617174
